[2026-07-07T06:06:26.504Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-1YQE8JN66P&gtm=45Pe6711v9250883561za200zd9250883561&_p=1783404386481&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQC&are=1&cid=156021363.1783404361&frm=0&pscdl=noapi&rcb=12&sr=1280x800&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=15.7.7&uaw=0&ul=en-us&_s=1&tag_exp=115616985~115938465~115938469~118395334~119027224~119381663~119576881~119576885~119576891~119576895~119793972&sid=1783404361&sct=1&seg=1&dl=https%3A%2F%2Fjoetay.com%2Fnew-launches%2Fnewport-residences&dt=Newport%20Residences%20%C2%B7%20Mixed-Use%20CCR%20Luxury%20%C2%B7%20Tanjong%20Pagar%20D02%20%7C%20Joe%20Tay%2C%20ERA&en=page_view&_ee=1&tfd=612 → 204 (56ms, ?B)
[2026-07-07T06:06:26.505Z] GET https://connect.facebook.net/en_US/fbevents.js → 200 (?ms, -3938B)
[2026-07-07T06:06:26.552Z] GET https://img.singmap.com/upload/broke/c16b84966acc46c6ba69dc2a6291d711/89abbcafcb6d4b85a543d4131a5148fb/imgs/20251106/WhatsApp_Image_2025-11-06_at_15.57.47.jpeg → 200 (5ms, 393524B)
[2026-07-07T06:06:26.554Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2 → 200 (18ms, 37012B)
[2026-07-07T06:06:26.554Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial_dev/ → 200 (351ms, 1395B)
[2026-07-07T06:06:26.554Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/ → 200 (350ms, 1475B)
[2026-07-07T06:06:26.555Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l34/ → 200 (280ms, 1871B)
[2026-07-07T06:06:26.555Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial/ → 200 (366ms, 1395B)
[2026-07-07T06:06:26.556Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l23/ → 200 (280ms, 1871B)
[2026-07-07T06:06:26.556Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/ → 200 (342ms, 1476B)
